week,AFC_dairy,cover_LU_dairy,growth_dairy,demand_dairy,stocking_rate_dairy,pregrazing_yield_dairy,diet_grass_dairy,diet_supplement_dairy,AFC_drystock,pregrazing_yield_drystock,growth_drystock,stocking_rate_drystock,demand_drystock,days_ahead_drystock,DM_Moorepark,DM_Grange,DM_Ballyhaise,DM_Athenry,DM_Kilworth,DM_Clonakilty
2022-07-04,646.0,190.0,52.0,50.0,3.4,1393.0,13.5,4.1,704.0,1618.0,46.0,3.06,40.0,17.5,,,,,,
2022-07-11,,,,,,,,,,,,,,,,,,,,
2022-07-18,,,,,,,,,,,,,,,,,,,,
2022-07-25,,,,,,,,,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,,,,,,,,,,
2022-08-08,,,,,,,,,,,,,,,,,,,,
2022-08-15,,,,,,,,,,,,,,,,,,,,
2022-08-22,,,,,,,,,,,,,,,,,,,,
2022-08-29,,,,,,,,,,,,,,,,,,,,
2022-09-05,,,,,,,,,,,,,,,,,,,,
2022-09-12,,,,,,,,,,,,,,,,,,,,
2022-09-19,,,,,,,,,,,,,,,,,,,,
2022-09-26,,,,,,,,,,,,,,,,,,,,
2022-10-03,,,,,,,,,,,,,,,,,,,,
2022-10-10,,,,,,,,,,,,,,,,,,,,
2022-10-17,840.0,285.0,36.0,39.0,3.07,1710.0,13.0,5.0,800.0,1690.0,26.0,2.1,29.0,28.0,0.14,,,0.14,,
2022-10-24,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,,,,,,,,,,
2022-11-14,,,,,,,,,,,,,,,,,,,,
2022-11-21,,,,,,,,,,,,,,,,,,,,
2022-11-28,,,,,,,,,,,,,,,,,,,,
2022-12-05,,,,,,,,,,,,,,,,,,,,
2022-12-12,,,,,,,,,,,,,,,,,,,,
2022-12-19,,,,,,,,,,,,,,,,,,,,
2022-12-26,,,,,,,,,,,,,,,,,,,,
2021-06-01,754.0,191.0,69.0,60.0,3.95,1649.0,15.0,3.25,758.0,1757.0,56.0,3.36,44.0,17.0,0.167,0.234,,,,
